,Date Submitted,Date/Time,Short Description,Location of Event,Long Description,Attachments
,,of Event,,,,
38,1/9/2018,1/9/2018,"{cak} Four triangular black unidentified flying craft, plus a helicopter with searchlight at lower altitude.","Wrightsville, PA, US",,
,,7:05PM,,,,
39,1/8/2018,1/7/2018,"{cak} Four orbs shrouded by mist, hovering and moving slowly over i-83","Harrisburg, PA, US",,lights0108.png
,,5:58PM,,,,
40,1/7/2018,1/5/2018,{cak} found something on stilts on google moon,"Connelsville, PA, US",,
,,6:11PM,,,,
41,1/3/2018,1/2/2018,"{dr}Appeared as an unusual, rapidly pulsating star to the naked eye. Used telescope for closer view.","Exton, PA, US",,IMG7039.MOV
,,10:00PM,,,,IMG7045.JPG
,,,,,,IMG7046.PNG
,,,,,,IMG7048.PNG
1,1/10/2019,6/20/2018,{cak} I WAS OUTSIDE LOOKING AT THE SKY AND OBSERVED LIGHT MOVING AT A HIGH RATE OF SPEED,"MILLHEIM, PA, US",,
,,5:00AM,,,,
2,8/19/2018,6/9/2018,"{rjl} Object was round, flat, had visible structures of alternating, pattered colors.","Dayton, PA, US",,Screenshot819201813726PM.jpg
,,2:00PM,,,,
3,6/30/2018,6/30/2018,{td} Two objects fly toward each other and hover before changing direction.,"Kingston, PA, US",,IMG3440.PNG
,,10:01AM,,,,IMG3442.jpg
,,,,,,IMG3443.jpg
4,6/30/2018,4/15/2018,{td} Observed object hovering for 2 hours before it took off and disappeared,"Pittsburgh, PA, US",,
,,9:00PM,,,,
5,6/30/2018,6/29/2018,{td} I was taking pics of a tree carving and I was looking at the pictures today and noticed a orb above a tree in only one pic,"Bradford, PA, US",,20180629191715.jpg
,,12:00AM,,,,20180629191708.jpg
6,6/30/2018,6/29/2018,{td} Bright orb appeared traveling then immediately dipped at 90 degree angle and disappeared,"Bensalem, PA, US",,
,,11:34PM,,,,
7,6/25/2018,6/5/2018,"{td} Taking pictures of double rainbow, noticed object while reviewing photos.","Saint Thomas , PA, US",,20180605200137.jpg
,,8:01PM,,,,20180605200131.jpg
,,,,,,20180605200128.jpg
8,6/20/2018,6/19/2018,{rjl} Object appeared after 9pm and remained stationary for at 40 minutes then gradually moved further west until it disappeared,"Pittsburgh, PA, US",,
,,12:00AM,,,,
9,6/20/2018,6/18/2018,"{rjl} Triangle like object, pulsing every light moving around and dissappearing; coming back into view.","Herminie, PA, US",,received10211826771369912.jpeg
,,2:20AM,,,,Snapchat1988919758.mp4
,,,,,,Snapchat123969170.mp4
,,,,,,Snapchat1988919758.mp4
,,,,,,Snapchat1123152854.mp4
10,6/19/2018,6/19/2018,"{rjl} Two orbs moved towards each other, triple lights through binocs, cylinder through scope","lower burrell, PA, US",,00486.MTS
,,7:30PM,,,,Ufo1.JPG
11,6/19/2018,6/18/2018,{rjl} On a hazy and cloudy night the object appeared about 9:30pm and remained stationary about one hour then gradually moved away west and northwest,"Pittsburgh, PA, US",,
,,9:30PM,,,,
12,6/18/2018,6/15/2018,"{rjl} Object sighted at approximately 9:15pm, it was stationary in the Western sky for an hour then gradually move off to the NW","Pittsburgh, PA, US",,
,,9:00PM,,,,
13,6/15/2018,6/14/2018,"{cak} saw an object in the sky that was brighter than any star. When I looked at it through binoculars, it appeared to look like a ferris wheel, bright white with spokes on It then suddenly change form & become pulsing lights of red, green, yello","Manns Choice, PA, US",,
,,12:00AM,,,,
14,6/15/2018,6/14/2018,{cak} Object sighted at approximately 9:30 pm. Object stationary for one hour then gradually you realize it is moving away NW,"Pittsburgh, PA, US",,
,,9:30PM,,,,
15,6/12/2018,5/24/2018,{cak} I first sighted this object in the sky West of my house on May 24th; it was stationary then after 40 minutes it receded to the NW an faded away.,"Pittsburgh, PA, US",,
,,9:30PM,,,,
16,6/9/2018,6/9/2018,{jpg} Looks like a Green sphere but it looks to big to be a ballon. I took three photos and the third photo the object appeared. Not sure if it’s a reflection from the sun affecting the camera.,"Smethport , PA, US",,DE816EAD7B034F5699B13A15DAC11C10.jpeg
,,1:46PM,,,,832C90CD7ADD41208684BD3503E0BE32.jpeg
,,,,,,9A782AFF99BA4F73B096CAB960FFDE6F.jpeg
17,6/6/2018,6/5/2018,{jpg} Steady bright light flying very low with absolutely no sound at all. Recorded on phone,"Johnstown, PA, US",,0605182220.mp4
,,10:30PM,,,,0520181427.mp4
18,5/29/2018,5/29/2018,{td} Incerted triangleof hovering then moving light balls.,"Curwensville, PA, US",,20180529215548.jpg
,,9:00PM,,,,
19,5/22/2018,5/22/2018,"{rjl} Extreme and strange clouds and storm appeared fairly quickly, objects observed in the sky seemingly using clouds as cover.","Brownsville, PA, US",,20180522201901.jpg
,,8:20PM,,,,20180522201906.jpg
,,,,,,20180522201910.jpg
,,,,,,20180522201943.jpg
,,,,,,2018052220202501.jpeg
20,5/22/2018,5/22/2018,{rjl} Bell Shaped Object with Spot Light - Ghost like figures also recorded.,"PA, US",,052220181044835AMFrontYardUFOMotion.mp4
,,4:48AM,,,,052220182045003AMFrontYardUFOMotion.mp4
,,,,,,052220183045238AMFrontYardUFOMotion.mp4
,,,,,,052220184052313AMFrontYardUFOMotion.mp4
,,,,,,052220185052425AMFrontYardUFOMotion.mp4
,,,,,,052220186054402AMFrontYardUFOMotion.mp4
,,,,,,052220187054517AMFrontYardUFOMotion.mp4
21,5/20/2018,5/19/2018,{rjl} Had feeling something was different. Looked up was disc and it disappeared from sky,"PA, US",,
,,3:34AM,,,,
22,5/19/2018,5/18/2018,{cak} Multiple glowing orbs seen in sky by witnesses. Some hovered for a while then fell below tree line.,"Hershey, PA, US",,video1526695268.mp4
,,10:02PM,,,,
23,5/14/2018,5/12/2018,{cak} Small rod like object with four lights - approximately 18,"Bradford, PA, US",,05122018UFORod.mp4
,,12:00AM,,,,
24,5/11/2018,5/8/2018,{td} Reflected grey color and had a massive chem trail that obscured UFO,"west chester, PA, US",,
,,12:00AM,,,,
25,5/8/2018,5/8/2018,{td} Fast moving zigzag light.,"Carbondale, PA, US",,
,,9:35PM,,,,
26,5/3/2018,5/2/2018,{jpg} I like to film the sky at night from the time to time to see if I catch anything unusual and last night I recorded,"Ivyland, PA, US",,DF16EA8B5AAB4A2A86D1D6FDAC2B6D6D.MOV
,,10:46PM,,,,F24C711F93C5458B9219CF53A8DC4472.MOV
27,4/24/2018,4/24/2018,{rjl} Orange orb siting,"PA, US",,
,,8:28PM,,,,
28,4/23/2018,4/22/2018,{rjl} Looked to me to appear like lunar lander,"Manheim, PA, US",,
,,5:14PM,,,,
29,4/22/2018,4/20/2018,{rjl} Looked like a star; same brightness and altitude but moving at a pace slightly slower than a plane. Way too high to be a plane and no flashing lights,"Drexel Hill, PA, US",,
,,12:00AM,,,,
30,4/22/2018,4/21/2018,{rjl} Bright red object 'hovering' for approximately 5 seconds then shot away rapidly,"Coatesville, PA, US",,
,,12:00AM,,,,
31,4/14/2018,4/13/2018,{td} square shape with 4 glowing circles in the middle. Circles were rotating. off in the distance at first then directly over our house then back at a distance,"Bensalem, PA, US",,pic1
,,8:47PM,,,,pic2
,,,,,,video1
,,,,,,video2
,,,,,,video3
32,4/10/2018,4/10/2018,{td} I was sitting on my porch and looking out and saw a random light. But I zoomed in and it was a ring. Shortly after a second appeared this one flickering. No later than ten mintues both were gone.,"Bethlehem, PA, US",,9FE6C06A6E3B45659BB9893849A65B2F.MOV
,,9:00PM,,,,2C0E1894B6E641268ACC038CA07667D9.MOV
,,,,,,86217332BBD9451DB8A4A8FFC4100611.jpeg
,,,,,,09DEC0E57C724077858DC59BF6B2439E.png
33,4/9/2018,4/8/2018,"{td} Glowing orb, second time we saw something like this","Pottstown, PA, US",,
,,8:46PM,,,,
34,4/8/2018,4/7/2018,"{td} Appeared in the north, like a slow come to, but flying horizontally to the east. 12 or so total. Formations of 4, 3 and 2.","Philadelphia, PA, US",,IMG20180407224808.jpg
,,11:10PM,,,,IMG20180407224810.jpg
,,,,,,IMG20180407224811.jpg
,,,,,,IMG20180407224814.jpg
,,,,,,IMG20180407225313.jpg
35,4/8/2018,4/8/2018,{td} I saw one orb so I filmed. When I edited I found two more. email me if video doesn't download!!,"Philadelphia (fishtown. , PA, US",,Project8201804082.mp4
,,3:03PM,,,,20180408161349.jpg
,,,,,,20180408161426.jpg
36,4/6/2018,4/6/2018,{jpg} Helicopter chasing Starlite ball/orb.,"Reading, PA, US",,
,,10:30PM,,,,
37,4/1/2018,4/1/2018,{jpg} Repeating ufo,"PA, US",,video.mov
,,9:23PM,,,,111.jpg
1,12/22/2018,7/24/2018,"{rjl} Four lights, 1 separate from three grouped. Grouped objects converged on separate under 1 minute became one.","Franklin, PA, US",,
,,2:14AM,,,,
2,10/24/2018,8/12/2018,{tjd} Security camera in basement suddenly picked up a fleet of,"Emmaus, PA, PA, US",,
,,12:00AM,,,,
3,9/19/2018,8/24/2018,{rjl} I observed a cluster of of stars south of the moon and decided to snap a few pictures,"Greensburg, PA, US",,DSC0001.JPG
,,12:00AM,,,,DSC0014.JPG
4,9/9/2018,8/24/2018,{cak} Two red orbs,"Penn hills, pa, PA, US",,20180815204027.mp4
,,9:25PM,,,,
5,8/28/2018,8/21/2018,"{td} Flashing, orblike","Bloomsburg university , PA, US",,
,,8:01PM,,,,
6,8/27/2018,8/26/2018,"{td} Red orb hovering along route 378.. glowing red, no structural apendeges... Just a fuzzy red ball of light. We were driving so we didn't stop.. I saw it my wife did not.","Bethelehem, PA, US",,
,,8:30PM,,,,
7,8/25/2018,8/24/2018,{rjl} PCH AD for Dodge Ram has a large disk like object visible as soon as the truck leaves the woods,"PA, US",,
,,2:02PM,,,,
8,8/24/2018,8/24/2018,{rjl} Came outside of work and saw a giant steady orange ball of light flying across the sky being pursued by a jet with blinking marker lights.,"Imler, PA, US",,VID20180823210123.mp4
,,9:00PM,,,,
9,8/22/2018,8/13/2018,{rjl} Streetlights went out. Looked out window. Seen strange object in the sky,"Philadelphia, PA, US",,VID201808130149264042.mp4
,,1:49AM,,,,IMG20180813014920863LL.jpg
,,,,,,IMG20180813014822162.jpg
10,8/18/2018,8/15/2018,{cak} attending a baseball game a lightning storm caused a delay in the game. My wife was trying to get a picture of the lightning and took this picture. Didn't notice the lights until we got home after the game was called. Not sure what is was. But i,"State College , PA, US",,FBIMG1534501316560.jpg
,,12:00AM,,,,
11,8/18/2018,8/17/2018,{cak} 3 yellow lights in a straight line hover then move over Delaware river,"Philadelphia , PA, US",,20180817232927.mp4
,,11:15PM,,,,20180817232918.mp4
12,8/15/2018,8/10/2018,{cak} orange lights in the night sky. looked like object in picture from case 93989.,"York, PA, US",,
,,9:38PM,,,,
13,8/15/2018,8/6/2018,{cak} radiant object appeared on security camera,"Hazleton, PA, US",,UFO2.mp4
,,11:24PM,,,,
14,8/9/2018,8/8/2018,{jpg} THEY WERE ROUND AND WHERE BLUE IN COLOR. THEY DID MOVE I ONLY SAW THEM AFTER I TOOK THE P;ICTURES,"DOVER, PA, US",,DSCN0928.JPG
,,6:17PM,,,,DSCN0929.JPG
,,,,,,DSCN0930.JPG
,,,,,,DSCN0931.JPG
15,8/8/2018,7/15/2018,"{jpg} grndson took picture from car window down. I seen picture as I loaded in computer, could see the aura around the objecy when blown up. I asked him (8yrs old) if he seen something when taking the picture, he said he did","Bellefonte, PA, US",,DSCN0469.JPG
,,12:00AM,,,,
16,8/6/2018,8/6/2018,{jpg} Two planes chasing each other one stopped other flew away,"Beaver, PA, US",,
,,12:00AM,,,,
17,8/3/2018,7/1/2018,Fist time i noticed it was july smoking cigarettes out back window 7th floor of apartment.now its everyday,"Drexel Hill, PA, US",,20180801233850.jpg
,,11:59PM,,,,20180720221244.jpg
,,,,,,20180801233854.jpg
,,,,,,20180720222556.jpg
,,,,,,20180720221244.jpg
18,8/3/2018,8/3/2018,{rjl} MULTIPLE PHOTOS AND VIDEOS OF GLOWING LIGHT AND FLASHES OF LIGHT,"PHILADELPHIA, PA, US",,IMG2018022819124893422005.jpg
,,10:39AM,,,,OBVIOUSLY.jpg
,,,,,,mylight.JPG
19,8/2/2018,8/2/2018,"{rjl} black triangle with no sound under clouds travelling fast, lights at each corner","center valley, PA, US",,
,,11:28PM,,,,
20,7/29/2018,7/26/2018,{rjl} It was scary,"Philadelphia , PA, US",,
,,11:00AM,,,,
21,7/29/2018,7/29/2018,{rjl} Large silent Gold orb flew in front of full moon blocked out upper 25 percent from view and winked out after passing moon,"Bethel Psrk, PA, US",,
,,12:00AM,,,,
22,7/25/2018,7/24/2018,{cak} I spotted a large outer rim of a massive disc partially poking out of dark storm clouds.,"New Castle, PA, US",,
,,7:25PM,,,,
23,7/22/2018,7/21/2018,"{cak} This event felt odd. The objects were were a line, higher than power lines. not moving. Then, they simply vanished.","Oaks, PA, US",,
,,10:05AM,,,,
24,7/20/2018,7/20/2018,{td} Triangular with 3 lights,"PA, US",,20180720015900.mp4
,,1:59AM,,,,
25,7/19/2018,7/13/2018,{td} Craft hovering high over amusement park,"Allentown, PA, US",,6CB1D06C721348BA99A2D05CAF97620E.png
,,12:01PM,,,,5CAA5EEE267B4F4B879FBB5A314D8B25.png
,,,,,,162003B565F14C59BBB749DFBED12561.png
,,,,,,EBEE502CF1CE430C80041E42715201AF.png
,,,,,,523AFAD8FFB4409A8E3D62B696F8B6CF.png
,,,,,,F87397A12FE64CF4B53E1C1B53DE0646.png
26,7/18/2018,7/16/2018,"{td} Same UFO two nigh nights in a row. Bright light, seemed to do figure 8s. Then gradually moved to the right and out of sight","Coatesville , PA, US",,
,,1:00AM,,,,
27,7/17/2018,7/17/2018,"{td} I took a random Pic of the sky. When I looked at it I noticed an orb. When I zoomed in you can see 4 lights, in a square pattern, within the orb.","New Oxford, PA, US",,20180717093404.jpg
,,9:34AM,,,,Screenshot20180717120040.png
28,7/17/2018,7/16/2018,{td} White Ball,"Harrisburg, PA, US",,
,,2:30PM,,,,
29,7/14/2018,7/2/2018,{jpg} blinking and hovering light appeared over bayfront tower and then floated over presque isle.,"Erie, PA, US",,
,,11:30PM,,,,
30,7/13/2018,7/6/2018,{jpg} Watering my tree very bright reflection caught Mayeye that’s when I saw the first one then two more joined it,"Brookhaven , PA, US",,
,,12:00AM,,,,
31,7/10/2018,7/7/2018,{jpg} Observed object flying across sky at high altitude on straight line path,"Wernersville, PA, US",,
,,1:30PM,,,,
32,7/9/2018,7/8/2018,"{jpg} Intense, large bright light with unexplained behavior.","Reading, PA, US",,
,,1:30AM,,,,
33,7/9/2018,7/8/2018,{jpg} Watering my tree looked up Notice something I’ve never seen then noticed two more meat up with it flying in at the pattern,"Philadelphia , PA, US",,
,,12:00AM,,,,
34,7/8/2018,7/8/2018,{jpg} Star looking. Changed direction abruptly. Moved across sky quickly. Pulsating light that disappeared then gradually became bright again.,"Temple , PA, US",,
,,10:00PM,,,,
35,7/7/2018,7/6/2018,{dr}Ball of light passing airplanes.,"East stroudsburg, PA, US",,
,,10:20PM,,,,
36,7/2/2018,7/2/2018,"{dr}saw huge object from afar (assumed vehicle) taking up whole road, got closer and recognized saucer shape and forbidden startled badly","Bethlehem, PA, US",,
,,2:40AM,,,,
1,11/12/2018,9/12/2018,"{cak} movement of 3 lights in night sky moving east , 3 seperate times","Stroudsburg, PA, US",,IMG0349.PNG
,,8:30PM,,,,IMG03501.PNG
,,,,,,IMG0350.PNG
,,,,,,IMG0361.PNG
,,,,,,IMG0362.PNG
2,11/2/2018,10/31/2018,{tjd} Bright Red Orb in North Western Sky turn black then headed south heard report something landed in the ocean had to call,"Perkasie, PA, US",,
,,9:50PM,,,,
3,10/31/2018,10/30/2018,"{tjd} On tuesday 6:02 am ,I noticed an object making a slow and steady turn towards me...it got closer and I said thats not a plane...","PA, US",,IMG0987.MOV
,,6:02AM,,,,ufo2.jpg
4,10/30/2018,10/30/2018,"{tjd} Saw black craft far above plane. Craft moved erratically, changed direction and speeds.","Lansdale, PA, US",,
,,1:40PM,,,,
5,10/29/2018,9/11/2018,{tjd} Got into a confrontation and captured it after it accidentally grabbed me by my genitalia and tried to pull me off my bed.I then back handed it in its face and grabbed it by its neck and by doing this it was unable to become invisible.,"Apollo, PA, US",,
,,3:15AM,,,,
6,10/29/2018,10/25/2018,{tjd} While watching crows circling I noticed a very slow moving object the speed was much slower than an aircraft,"mechanicsburg, PA, US",,
,,2:05PM,,,,
7,10/26/2018,10/26/2018,"{cak} bright red orb that turned green then blue then red. hovered around, stood still for a while, then flew away quickly","philadelphia, PA, US",,
,,11:00PM,,,,
8,10/23/2018,10/23/2018,{cak} Observed 2 silvery-white objects high in sky (over 2 miles) moving slowly west,"Manheim, PA, US",,IMG3360.JPG
,,11:00AM,,,,IMG3359.JPG
,,,,,,IMG3358.JPG
,,,,,,IMG3357.JPG
9,10/23/2018,10/23/2018,{cak} silverish-white-glowing disk,"California, PA, US",,
,,12:52PM,,,,
10,10/22/2018,10/22/2018,{cak} It looked like the sky was on fire. Lost sight for a while when driving,"Wrightsville , PA, US",,20181022045732.jpg
,,4:40AM,,,,20181022045658.jpg
11,10/21/2018,10/21/2018,{cak} PA Turnpike 76 floating lights,"Chester Springs, PA, US",,
,,12:00AM,,,,
12,10/12/2018,10/12/2018,{tjd} Fox News in Germany covering story of Pastor release.,"PA, US",,20181012191807.mp4
,,12:00AM,,,,20181012191221.mp4
13,10/4/2018,10/3/2018,"{jpg} Darting, forward, backwards, sideways at shirt warp speed distances. Fly, stop, fly, stop...","Shermans Dale, PA, US",,
,,10:10PM,,,,
14,10/2/2018,10/1/2018,{jpg} [location removed/CMS/jpg] Heading S on I-79 Large Green Bright Orb Comes Down near Cell Tower lasted only 6 secs and then instantly disappeared.,"Cranberry , PA, US",,Capture.PNG
,,11:35PM,,,,
15,10/1/2018,10/1/2018,{jpg} Large Triangular prism bright unwavering lights at each point hovering then moving very slow escorted by what looked like 747s in front and back,"King of Prussia, PA, US",,ufo.jpg
,,7:13PM,,,,
16,9/30/2018,9/30/2018,"{jpg} 3am I looked out my window and saw a light in the sky not traveling across the sky like an airplane would, I got binoculars out and witnessed a disco ball type object hovering above the area....watched it for 2 hours and it slowly moved westward!","Philadelphia, PA, US",,
,,12:00AM,,,,
17,9/30/2018,9/28/2018,{jpg} Star like object moving faster and higher than a plane from east to west for 1 minute then fading out.,"Nanticoke , PA, US",,
,,12:00AM,,,,
18,9/25/2018,9/24/2018,{dr}I photograph clouds. Stopped on way to post office and shot some images. It appears in only one image though I have others of the same direction.,"Palm, PA, PA, US",,PossibleUFOOverFieldinPalmPA.JPG
,,12:52PM,,,,
19,9/24/2018,9/22/2018,"{dr}Shiny, question mark shaped object hovers and seems to change shape","Claysburg, PA, US",,video1537812032.mp4
,,12:00AM,,,,425402863066051099192861210016527802171392n.jpg
,,,,,,4243565521758933426246583362424360102002688n.jpg
,,,,,,4241457121381141330964191577707333687967744n.jpg
20,9/19/2018,9/19/2018,"{rjl} Rectangle shape slimmer width. yellow to orange to red sequnce.fast west,abrupt faster turn south sudden,","lebanon, PA, US",,
